AIS	
AERONAUTICAL INFORMATION SERVICES
Aerodrome / Heliport in Europe/Greenland
Master gUID	Identifier of Aerodrome	Responsible State	Name of Aerodrome	ICAO Code	IATA Code	Type	(d)Operation code	ARP latitude	ARP Longitude	Datum	Served city	Working hours	Effective date	Originator	System Remark
5017751	BGKA	GREENLAND	KANGAATSIAQ	BGKA	QPW	HP	 	68.3126611N	053.4601972W	WGE	KANGAATSIAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5012879	BGKK	GREENLAND	KULUSUK	BGKK	KUS	AD	 	65.57361N	037.12361W	WGE	KULUSUK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019283	BGKL	GREENLAND	UPERNAVIK KUJALLEQ	BGKL	UPK	HP	 	72.15558333N	055.53513889W	WGE	UPERNAVIK KUJALLEQ	 	10/07/2025	NAVIAIR ATS	please obtain current usage data from dedicated report
97150706	BGKM	GREENLAND	KUUMMIUT	BGKM	KUZ	HP	 	65.8638083N	036.9954972W	WGE	KUUMMIUT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5017821	BGKQ	GREENLAND	KULLORSUAQ	BGKQ	KHQ	HP	 	74.5794222N	057.2354389W	WGE	KULLORSUAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5017769	BGKS	GREENLAND	KANGERSUATSIAQ	BGKS	KGQ	HP	 	72.3811389N	055.5366028W	WGE	KANGERSUATSIAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
95713476	BGKT	GREENLAND	KITSSISUARSUIT	BGKT	QJE	HP	 	68.8579417N	053.1240194W	WGE	KITSSISUARSUIT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5012931	BGMQ	GREENLAND	MANIITSOQ	BGMQ	JSU	AD	 	65.4124639N	052.9394194W	WGE	MANIITSOQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
326224661	BGMV	DENMARK	MESTERSVIG	BGMV	 	LS	 	72.233N	023.917W	WGE	 	 	14/07/2022	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
79616537	BGNK	GREENLAND	NIAQORNAARSUK	BGNK	QMK	HP	 	68.23423056N	052.85447778W	WGE	NIAQORNAARSUK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013820	BGNN	GREENLAND	NANORTALIK	BGNN	JNN	HP	 	60.14N	045.23167W	WGE	NANORTALIK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
326224670	BGNO	DENMARK	STATION NORD	BGNO	 	LS	 	81.60833N	016.67833W	WGE	 	 	14/07/2022	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5013840	BGNS	GREENLAND	NARSAQ	BGNS	JNS	HP	 	60.91667N	046.05861W	WGE	NARSAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5018977	BGNT	GREENLAND	NIAQORNAT	BGNT	NIQ	HP	 	70.7888472N	053.6560861W	WGE	NIAQORNAT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019121	BGNU	GREENLAND	NUUSSUAQ	BGNU	NSQ	HP	 	74.1098556N	057.0650833W	WGE	NUUSSUAQ	 	10/07/2025	NAVIAIR ATS	please obtain current usage data from dedicated report
327907194	BGPC	DENMARK	IKERASASSUAQ	BGPC	 	HP	 	60.05722N	043.15972W	WGE	 	 	14/07/2022	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
345853529	BGPT	GREENLAND	PAAMIUT	BGPT	JFR	AD	 	62.0147361N	049.6709361W	WGE	PAAMIUT	 	20/03/2025	NAVIAIR ATS	please obtain current usage data from dedicated report
95715372	BGQE	GREENLAND	QEQERTAQ	BGQE	PQT	HP	 	69.9994167N	051.3040444W	WGE	QEQERTAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013306	BGQQ	GREENLAND	QAANAAQ	BGQQ	NAQ	AD	 	77.48865N	069.3887306W	WGE	QAANAAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
97150783	BGQT	GREENLAND	QASSIMIUT	BGQT	QJH	HP	 	60.7793417N	047.1525917W	WGE	QASSIMIUT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
400004102548546	BGSA	GREENLAND	SARFANNGUIT	BGSA	SZC	HP	 	66.8963056N	052.8659722W	WGE	SARFANNGUIT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5017698	BGSC	GREENLAND	ITTOQQORTOORMIIT	BGSC	OBY	HP	 	70.4882361N	021.9716833W	WGE	ITTOQQORTOORMIIT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
4606517	BGSF	GREENLAND	KANGERLUSSUAQ	BGSF	SFJ	AD	 	67.0169694N	050.689325W	WGE	KANGERLUSSUAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019165	BGSG	GREENLAND	SERMILIGAAQ	BGSG	SGG	HP	 	65.9059194N	036.3782417W	WGE	SERMILIGAAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019222	BGSI	GREENLAND	SIORAPALUK	BGSI	SRK	HP	 	77.786475N	070.6384667W	WGE	SIORAPALUK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
79616563	BGSQ	GREENLAND	SAQQAQ	BGSQ	QUP	HP	 	70.0114333N	051.9321583W	WGE	SAQQAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013340	BGSS	GREENLAND	SISIMIUT	BGSS	JHS	AD	 	66.9512889N	053.7293194W	WGE	SISIMIUT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
97150832	BGST	GREENLAND	SAATTUT	BGST	SAE	HP	 	70.8086639N	051.6266111W	WGE	SAATTUT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019146	BGSV	GREENLAND	SAVISSIVIK	BGSV	SVR	HP	 	76.0186194N	065.1176W	WGE	SAVISSIVIK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019242	BGTA	GREENLAND	TASIUSAQ (UPERNAVIK)	BGTA	TQA	HP	 	73.3730833N	056.0602806W	WGE	TASIUSAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
4606519	BGTL	GREENLAND	PITUFFIK SPACE BASE (MIL)	BGTL	THU	AD	 	76.5312028N	068.7031611W	WGE	PITUFFIK SPACE BASE	 	28/11/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5019258	BGTN	GREENLAND	TINITEQILAAQ	BGTN	TQI	HP	 	65.8920306N	037.7833972W	WGE	TINITEQILAAQ	 	10/07/2025	NAVIAIR ATS	please obtain current usage data from dedicated report
97150858	BGTQ	GREENLAND	TASIUSAQ (NANORTALIK)	BGTQ	XEQ	HP	 	60.1937778N	044.8115639W	WGE	TASIUSAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013394	BGUK	GREENLAND	UPERNAVIK	BGUK	JUV	AD	 	72.7901889N	056.1305861W	WGE	UPERNAVIK	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013938	BGUM	GREENLAND	UUMMANNAQ	BGUM	UMD	HP	 	70.6803889N	052.1117222W	WGE	UUMMANNAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
5013492	BGUQ	GREENLAND	UUMMANNAQ/QAARSUT	BGUQ	JQA	AD	 	70.7342306N	052.6962028W	WGE	UUMMANNAQ	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
95715416	BGUT	GREENLAND	UKKUSISSAT	BGUT	JUK	HP	 	71.0553472N	051.8834917W	WGE	UKKUSISSAT	 	31/10/2024	NAVIAIR ATS	please obtain current usage data from dedicated report
4584843	BIAR	ICELAND	AKUREYRI	BIAR	AEY	AD	 	653924N	0180419W	WGE	AKUREYRI	 	23/07/2015	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5019543	BIBA	ICELAND	BAKKI	BIBA	 	AD	 	633322N	0200815W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5019613	BIBD	ICELAND	BILDUDALUR	BIBD	BIU	AD	 	653829N	0233246W	WGE	BILDUDALUR	 	18/05/2023	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5019630	BIBL	ICELAND	BLONDUOS	BIBL	BLO	AD	 	653842N	0201715W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5019693	BIBR	ICELAND	BUDARDALUR	BIBR	 	AD	 	650431N	0214801W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5019724	BIDV	ICELAND	DJUPIVOGUR	BIDV	DJU	AD	 	643839N	0141658W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584847	BIEG	ICELAND	EGILSSTADIR	BIEG	EGS	AD	 	651700N	0142405W	WGE	EGILSSTODUM	 	12/08/2021	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5020060	BIFL	ICELAND	FLUDIR	BIFL	 	AD	 	640834N	0201934W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5020043	BIFM	ICELAND	FAGURHOLSMYRI	BIFM	FAG	AD	 	635229N	0163828W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400003161664784	BIGF	ICELAND	GRUNDARFJORDUR	BIGF	GUU	AD	 	645935N	0231313W	WGE	 	 	04/06/2021	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5020143	BIGJ	ICELAND	GJOGUR	BIGJ	GJR	AD	 	655943N	0211937W	WGE	NORDURFJORDUR	 	04/03/2016	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5020161	BIGR	ICELAND	GRIMSEY	BIGR	GRY	AD	 	663246N	0180102W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
5020267	BIGS	ICELAND	GRIMSSTADIR	BIGS	 	AD	 	653757N	0160854W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93415581	BIHE	ICELAND	HERDUBREIDARLINDIR	BIHE	 	AD	 	651128N	0161218W	WGE	 	 	03/12/2020	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93415890	BIHI	ICELAND	HVERAVELLIR	BIHI	 	AD	 	645310N	0192933W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93415659	BIHK	ICELAND	HOLMAVIK	BIHK	HVK	AD	 	654217N	0214147W	WGE	HOLMAVIK	 	17/12/2008	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93415461	BIHL	ICELAND	HELLA	BIHL	 	AD	 	635009N	0202239W	WGE	HELLA	 	19/10/2012	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584853	BIHN	ICELAND	HOFN HORNAFIRDI	BIHN	HFN	AD	 	641744N	0151338W	WGE	HOFN	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584855	BIHU	ICELAND	HUSAVIK	BIHU	HZK	AD	 	655709N	0172533W	WGE	 	 	16/05/2024	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93415689	BIHZ	ICELAND	HUSAFELL	BIHZ	 	AD	 	644159N	0205301W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584845	BIIS	ICELAND	ISAFJORDUR	BIIS	IFJ	AD	 	660329N	0230807W	WGE	ISAFJORDUR	 	17/12/2008	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
101000949424705	BIKA	ICELAND	KALDARMELAR	BIKA	 	AD	 	644644N	0221525W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416191	BIKE	ICELAND	KERLINGARFJOLL	BIKE	 	AD	 	644218N	0192438W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584841	BIKF	ICELAND	KEFLAVIK	BIKF	KEF	AD	 	635906N	0223620W	WGE	KEFLAVIK	 	23/03/2023	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416268	BIKL	ICELAND	KIRKJUBAEJARKLAUSTUR	BIKL	 	AD	 	634734N	0180014W	WGE	 	 	03/12/2020	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
75161117	BIKP	ICELAND	KOPASKER	BIKP	OPA	AD	 	661839N	0162800W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
75161159	BIKR	ICELAND	SAUDARKROKUR	BIKR	SAK	AD	 	654354N	0193422W	WGE	SAUDARKROKUR	 	12/10/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
258477533	BIMK	ICELAND	MULAKOT	BIMK	 	AD	 	634251N	0195245W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
20749167	BIMM	ICELAND	MELGERDISMELAR	BIMM	 	AD	 	652900N	0181000W	WGE	 	 	28/03/2021	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416776	BIMS	ICELAND	TUNGUBAKKAR MOSFELLSBAE	BIMS	 	AD	 	641052N	0214228W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416376	BIND	ICELAND	NYIDALUR	BIND	 	AD	 	644314N	0180400W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
19161380	BINF	ICELAND	NORDFJORDUR	BINF	NOR	AD	 	650754N	0134451W	WGE	 	 	07/12/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
329768038	BIOF	ICELAND	OLAFSFJORDUR	BIOF	 	AD	 	660500N	0184000W	WGE	 	 	24/01/2015	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416403	BIRE	ICELAND	REYKHOLAR	BIRE	RHA	AD	 	652706N	0221235W	WGE	 	 	03/12/2020	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584851	BIRF	ICELAND	RIF	BIRF	OLI	LS	 	645441N	0234923W	WGE	 	 	27/01/2022	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
18854365	BIRG	ICELAND	RAUFARHOFN	BIRG	RFN	AD	 	662423N	0155506W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584839	BIRK	ICELAND	REYKJAVIK	BIRK	RKV	AD	 	640748N	0215626W	WGE	REYKJAVIK	 	17/12/2008	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
75161142	BIRL	ICELAND	REYKJAHLID	BIRL	MVA	AD	 	653921N	0165505W	WGE	REYKJAHLID	 	04/04/2013	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416479	BIRS	ICELAND	REYKJANES	BIRS	 	AD	 	655451N	0222517W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
300000562961941	BISA	ICELAND	SAUDARFLUGVOLLUR	BISA	 	AD	 	645032N	0160211W	WGE	EGILSSTADA	 	03/12/2020	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
329768040	BISE	ICELAND	SUDUREYRI	BISE	 	AD	 	635545N	0210217W	WGE	 	 	24/01/2015	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
76763034	BISF	ICELAND	SELFOSS	BISF	 	AD	 	635545N	0210216W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400002898855276	BISI	ICELAND	SIGLUFJORDUR	BISI	SIJ	AD	 	660818N	0185425W	WGE	SIGLUFJORDUR	 	04/06/2021	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
81781534	BISK	ICELAND	SKOGASANDUR	BISK	 	AD	 	633102N	0192921W	WGE	SKOGARSANDUR	 	08/01/2015	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
101000751602256	BISL	ICELAND	SKAFTAFELL	BISL	 	AD	 	640000N	0165627W	WGE	 	 	02/05/2021	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416759	BISR	ICELAND	STORIKROPPUR	BISR	 	AD	 	643804N	0212915W	WGE	 	 	26/06/2019	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416508	BISS	ICELAND	SANDSKEID	BISS	 	AD	 	640339N	0213429W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
18854379	BIST	ICELAND	STYKKISHOLMUR	BIST	SYK	AD	 	650331N	0224556W	WGE	 	 	26/06/2019	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416597	BISV	ICELAND	SKALAVATN	BISV	 	AD	 	640657N	0184700W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416889	BITE	ICELAND	THINGEYRI	BITE	TEY	AD	 	655213N	0233335W	WGE	THINGEYRI	 	17/03/2011	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
75161174	BITM	ICELAND	THORSMORK	BITM	 	AD	 	634124N	0193347W	WGE	THORSMORK	 	08/01/2015	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416904	BITN	ICELAND	THORSHOFN	BITN	THO	AD	 	661306N	0152005W	WGE	THORSHOFN	 	17/12/2008	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416880	BIVI	ICELAND	VIK	BIVI	 	AD	 	632518N	0185318W	WGE	 	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
4584849	BIVM	ICELAND	VESTMANNAEYJAR	BIVM	VEY	AD	 	632530N	0201645W	WGE	VESTMANNAEYJABAER	 	17/09/2017	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
93416871	BIVO	ICELAND	VOPNAFJORDUR	BIVO	VPN	AD	 	654314N	0145102W	WGE	VOPNAFJORDUR	 	17/12/2008	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
79705578	BKPR	AIR NAVIGATION SERVICE AGENCY (KOSOVO)	PRISTINA INTERNATIONAL AIRPORT	BKPR	 	AD	 	423422N	0210209E	WGE	PRISTINA	 	30/11/2023	GROUPEAD EUROPE S.L.	please obtain current usage data from dedicated report
400003474339781	EBAD	BELGIUM	ROESELARE / AZ DELTA	EBAD	 	HP	 	505502N	0030955E	WGE	 	H24	31/01/2022	SKEYES	 
400005157711843	EBAF	BELGIUM	AFFLIGEM	EBAF	 	HP	 	505412N	0040531E	WGE	 	HJ	28/12/2023	SKEYES	 
400002466003781	EBAG	BELGIUM	GRACE-HOLLOGNE / AGUSTA AEROSPACE SERVICES	EBAG	 	HP	 	503824N	0052727E	WGE	 	TIMSH	31/01/2022	SKEYES	 
1077273461	EBAL	BELGIUM	AALST / ONZE-LIEVE-VROUWZIEKENHUIS	EBAL	 	HP	 	505636N	0040321E	WGE	AALST	H24	31/01/2022	SKEYES	please obtain current usage data from dedicated report
18878090	EBAM	BELGIUM	AMOUGIES	EBAM	 	AD	 	504422N	0032910E	WGE	AMOUGIES	HJ	31/01/2022	SKEYES	please obtain current usage data from dedicated report
84914780	EBAR	BELGIUM	ARLON / STERPENICH	EBAR	QON	AD	 	493946N	0055313E	WGE	ARLON	TIMSH	02/03/2022	SKEYES	please obtain current usage data from dedicated report
454506396	EBAS	BELGIUM	SCHILDE / 'S GRAVENWEZEL	EBAS	 	HP	 	511449N	0043234E	WGE	SCHILDE	H24	31/01/2022	SKEYES	please obtain current usage data from dedicated report
84914808	EBAV	BELGIUM	HANNUT / AVERNAS-LE-BAUDUIN	EBAV	 	AD	 	504224N	0050405E	WGE	HANNUT	HJ	05/10/2023	SKEYES	please obtain current usage data from dedicated report
4581681	EBAW	BELGIUM	ANTWERPEN / DEURNE	EBAW	ANR	AH	 	511122N	0042737E	WGE	ANTWERPEN	TIMSH	03/10/2024	SKEYES	please obtain current usage data from dedicated report
4581664	EBBE	BELGIUM	BEAUVECHAIN	EBBE	 	AH	 	504528N	0044601E	WGE	BEAUVECHAIN	TIMSH	20/03/2025	SKEYES	please obtain current usage data from dedicated report
400005489462377	EBBG	BELGIUM	KORTRIJK / BELLEGEM	EBBG	 	HP	 	504545N	0031726E	WGE	KORTRIJK	HJ	03/10/2024	SKEYES	 
4581675	EBBL	BELGIUM	KLEINE-BROGEL	EBBL	 	AH	 	511006N	0052812E	WGE	KLEINE BROGEL	TIMSH	20/03/2025	SKEYES	please obtain current usage data from dedicated report
400001644317132	EBBM	BELGIUM	BRAKEL / MICHELBEKE	EBBM	 	HP	 	504951N	0034627E	WGE	BRAKEL	H24	31/01/2022	SKEYES	 
84914792	EBBN	BELGIUM	BUELLINGEN	EBBN	 	AD	 	502454N	0061635E	WGE	BUELLINGEN	TIMSH	14/07/2022	SKEYES	please obtain current usage data from dedicated report
4581679	EBBR	BELGIUM	BRUSSELS / BRUSSELS-NATIONAL	EBBR	BRU	AH	 	505405N	0042904E	WGE	BRUSSELS	H24	23/03/2023	SKEYES	please obtain current usage data from dedicated report
